//aHR0cHM6Ly9jaGg4MTguZ2l0aHViLmlvL3poaWJvLnR4dA==

 
🇨🇳｜百事直播,#genre#
卡酷少儿,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/kkse8m/8000000/mnf.m3u8
纪实科教,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/dajs8m/8000000/mnf.m3u8
茶频道,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/cpdhdavs8m/8000000/mnf.m3u8
足球高清,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/zqpd8m/8000000/mnf.m3u8
炫动卡通,http://223.109.53.49/liveplay-kk.rtxapp.com/live/program/live/hhxd8m/8000000/mnf.m3u8

🇨🇳｜小果直播,#genre#
CCTV1,http://wabc.ml/sxg.php?id=CCTV-1H265_4000
CCTV2,http://wabc.ml/sxg.php?id=CCTV-2H265_4000
CCTV3,http://wabc.ml/sxg.php?id=CCTV-3H265_4000
CCTV4,http://wabc.ml/sxg.php?id=CCTV-4H265_4000
CCTV5,http://wabc.ml/sxg.php?id=CCTV-5H265_4000
CCTV5+,http://wabc.ml/sxg.php?id=CCTV-5plusH265_4000
CCTV6,http://wabc.ml/sxg.php?id=CCTV-6H265_4000
CCTV7,http://wabc.ml/sxg.php?id=CCTV-7H265_4000
CCTV8,http://wabc.ml/sxg.php?id=CCTV-8H265_4000
CCTV9,http://wabc.ml/sxg.php?id=CCTV-9H265_4000
CCTV10,http://wabc.ml/sxg.php?id=CCTV-10H265_4000
CCTV11,http://wabc.ml/sxg.php?id=CCTV-11-H265_4000
CCTV12,http://wabc.ml/sxg.php?id=CCTV-12H265_4000
CCTV13,http://wabc.ml/sxg.php?id=CCTV-xw_4000
CCTV14,http://wabc.ml/sxg.php?id=CCTV-14H265_4000
CCTV15,http://wabc.ml/sxg.php?id=CCTV-15-yyH265_4000
CCTV17,http://wabc.ml/sxg.php?id=CCTV-17_4000
CHC家庭电影,http://wabc.ml/sxg.php?id=jbtygqCHCjtyyH265_4000
CHC动作电影,http://wabc.ml/sxg.php?id=gef.wqCHCdzdyH265_4000
CHC高清电影,http://wabc.ml/sxg.php?id=lnwsCHC-HDH265_4000
4K超高清电影,http://wabc.ml/sxg.php?id=emdy4k_8000
江苏卫视,http://wabc.ml/sxg.php?id=jswsH265_4000
北京卫视,http://wabc.ml/sxg.php?id=bjwsH265_4000
东方卫视,http://wabc.ml/sxg.php?id=dfwsH265_4000
湖南卫视,http://wabc.ml/sxg.php?id=hnwsH265_4000
浙江卫视,http://wabc.ml/sxg.php?id=zjwsH265_4000
广东卫视,http://wabc.ml/sxg.php?id=gdwsH265_4000
江西卫视,http://wabc.ml/sxg.php?id=jxwsH265_4000
湖北卫视,http://wabc.ml/sxg.php?id=hbwsH265_4000
重庆卫视,http://wabc.ml/sxg.php?id=cqwsH265_4000
安徽卫视,http://wabc.ml/sxg.php?id=ahwsH265_4000
东南卫视,http://wabc.ml/sxg.php?id=dnwsfjwsH265_4000
山东卫视,http://wabc.ml/sxg.php?id=sdwsH265_4000
深圳卫视,http://wabc.ml/sxg.php?id=szwsH265_4000
天津卫视,http://wabc.ml/sxg.php?id=tjwsH265_4000
贵州卫视,http://wabc.ml/sxg.php?id=gzwsH265_4000
吉林卫视,http://wabc.ml/sxg.php?id=jlwsH265_4000
黑龙江卫视,http://wabc.ml/sxg.php?id=hljwsH265_4000
四川卫视,http://wabc.ml/sxg.php?id=scwsH265_4000
CCTV风云音乐,http://wabc.ml/sxg.php?id=fyyy_4000
CCTV女时尚,http://wabc.ml/sxg.php?id=nxss_4000
CCTV兵器科教,http://wabc.ml/sxg.php?id=bqkj_4000
CCTV世界地理,http://wabc.ml/sxg.php?id=sjdl_4000
CCTV世界地理,http://wabc.ml/sxg.php?id=yscq4kH265_4000
甘肃卫视,http://wabc.ml/sxg.php?id=gsws_4000
云南卫视,http://wabc.ml/sxg.php?id=ynws_4000
广西卫视,http://wabc.ml/sxg.php?id=gxws_4000
河南卫视,http://wabc.ml/sxg.php?id=hnws35_4000
陕西卫视,http://wabc.ml/sxg.php?id=sxws_4000
山西卫视,http://wabc.ml/sxg.php?id=sxws42_4000
内蒙古卫视,http://wabc.ml/sxg.php?id=nmgws_4000
风云音乐HD,http://wabc.ml/sxg.php?id=fyyy_4000
河南卫视,http://wabc.ml/sxg.php?id=hnws_4000
四海钓鱼,http://wabc.ml/sxg.php?id=shdy_4000
国防军事,http://wabc.ml/sxg.php?id=gfjs_4000
世界地理,http://wabc.ml/sxg.php?id=sjdl_4000
摄影,http://wabc.ml/sxg.php?id=sy_4000
早期教育,http://wabc.ml/sxg.php?id=zqjy_4000
中国教育4,http://wabc.ml/sxg.php?id=zhms_4000
家庭理财,http://wabc.ml/sxg.php?id=jtlcH264_4000
中国教育1,http://wabc.ml/sxg.php?id=CETV-1H264_4000
快乐垂钓,http://wabc.ml/sxg.php?id=fyzqklcdHDH265_4000
都市剧场,http://wabc.ml/sxg.php?id=yxfydsjcHDH265_4000
新视觉,http://wabc.ml/sxg.php?id=ycxsjH265_4000
生活时尚,http://wabc.ml/sxg.php?id=shssH265_4000
全纪实,http://wabc.ml/sxg.php?id=qjs-HDH265_4000
SCTV-7hd,http://wabc.ml/sxg.php?id=SCTV-7-_4000
峨眉电影,http://wabc.ml/sxg.php?id=emdygqH265_4000

🇨🇳｜国内综合,#genre#
CCTV1,http://hls.yun.gehua.net.cn:8088/live/CCTV1HD_1200.m3u8
CCTV2,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_1200.m3u8

CCTV1,http://wabc.ml/sxg.php?id=CCTV-1H265_4000
CCTV2,http://wabc.ml/sxg.php?id=CCTV-2H265_4000
CCTV3,http://wabc.ml/sxg.php?id=CCTV-3H265_4000
CCTV4,http://wabc.ml/sxg.php?id=CCTV-4H265_4000
CCTV5,http://wabc.ml/sxg.php?id=CCTV-5H265_4000
CCTV5+,http://wabc.ml/sxg.php?id=CCTV-5plusH265_4000

CCTV6,http://hls.yun.gehua.net.cn:8088/live/CCTV6HD_1200.m3u8
CCTV7,http://hls.yun.gehua.net.cn:8088/live/CCTV7HD_1200.m3u8

CCTV6,http://wabc.ml/sxg.php?id=CCTV-6H265_4000
CCTV7,http://wabc.ml/sxg.php?id=CCTV-7H265_4000
CCTV8,http://wabc.ml/sxg.php?id=CCTV-8H265_4000
CCTV9,http://wabc.ml/sxg.php?id=CCTV-9H265_4000
CCTV10,http://wabc.ml/sxg.php?id=CCTV-10H265_4000
CCTV11,http://wabc.ml/sxg.php?id=CCTV-11-H265_4000
CCTV12,http://wabc.ml/sxg.php?id=CCTV-12H265_4000
CCTV12,http://hls.yun.gehua.net.cn:8088/live/CCTV12HD_1200.m3u8

CCTV13,http://wabc.ml/sxg.php?id=CCTV-xw_4000
CCTV14,http://wabc.ml/sxg.php?id=CCTV-14H265_4000
CCTV15,http://wabc.ml/sxg.php?id=CCTV-15-yyH265_4000
CCTV17,http://wabc.ml/sxg.php?id=CCTV-17_4000
安徽卫视,http://wabc.ml/sxg.php?id=ahwsH265_4000
深圳卫视,http://wabc.ml/sxg.php?id=szwsH265_4000
广东卫视,http://wabc.ml/sxg.php?id=gdwsH265_4000
浙江卫视,http://wabc.ml/sxg.php?id=zjwsH265_4000
湖南卫视,http://wabc.ml/sxg.php?id=hnwsH265_4000
東方衛視,http://wabc.ml/sxg.php?id=dfwsH265_4000
北京卫视,http://wabc.ml/sxg.php?id=bjwsH265_4000
江苏卫视,http://wabc.ml/sxg.php?id=jswsH265_4000
四川卫视,http://hls.yun.gehua.net.cn:8088/live/SiChuan_2000.m3u8
CCTV1,http://124.220.17.172:1100/aas.php?id=1
CCTV2,http://124.220.17.172:1100/aas.php?id=2
CCTV3,http://124.220.17.172:1100/aas.php?id=3
CCTV4,http://124.220.17.172:1100/aas.php?id=4
CCTV5,http://124.220.17.172:1100/aas.php?id=5
CCTV5+,http://124.220.17.172:1100/aas.php?id=5p
CCTV6,http://124.220.17.172:1100/aas.php?id=6
CCTV7,http://124.220.17.172:1100/aas.php?id=7
CCTV8,http://124.220.17.172:1100/aas.php?id=8
CCTV9,http://124.220.17.172:1100/aas.php?id=9
CCTV10,http://124.220.17.172:1100/aas.php?id=10
CCTV11,http://124.220.17.172:1100/aas.php?id=11
CCTV12,http://124.220.17.172:1100/aas.php?id=12
CCTV13,http://124.220.17.172:1100/aas.php?id=13
CCTV14,http://124.220.17.172:1100/aas.php?id=14
CCTV15,http://124.220.17.172:1100/aas.php?id=15
CCTV16,http://124.220.17.172:1100/aas.php?id=16
CCTV17,http://124.220.17.172:1100/aas.php?id=17
安徽卫视,http://124.220.17.172:1100/aas.php?id=32
深圳卫视,http://124.220.17.172:1100/aas.php?id=36
广东卫视,http://124.220.17.172:1100/aas.php?id=26
浙江卫视,http://124.220.17.172:1100/aas.php?id=21
湖南卫视,http://124.220.17.172:1100/aas.php?id=20
東方衛視,http://124.220.17.172:1100/aas.php?id=23
北京卫视,http://124.220.17.172:1100/aas.php?id=24
江苏卫视,http://124.220.17.172:1100/aas.php?id=22



🇨🇳｜肥羊直播,#genre#
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
歌华导视,https://live.v1.mk/api/ghyx.php?id=GeHuadaoshiHD_6000
CHC家庭影院 标清,https://live.v1.mk/api/ghyx.php?id=CHCHD_2000
CHC高清电影,https://live.v1.mk/api/ghyx.php?id=CHCHD2_6000
CHC动作电影 标清,https://live.v1.mk/api/ghyx.php?id=MotionHD_2000
都市剧场,https://live.v1.mk/api/ghyx.php?id=DuShiJuChangHD_6000
劲爆体育,https://live.v1.mk/api/ghyx.php?id=JinBaoTiYuHD_6000
浙江卫视,https://live.v1.mk/api/ghyx.php?id=ZheJiangHD_6000
北京卫视,https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
广西卫视,https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
辽宁卫视,https://live.v1.mk/api/ghyx.php?id=LiaoNingHD_6000
安徽卫视,https://live.v1.mk/api/ghyx.php?id=AnHuiHD_6000
江苏卫视,https://live.v1.mk/api/ghyx.php?id=JiangSuHD_6000
东方卫视,https://live.v1.mk/api/ghyx.php?id=DongFangHD_6000
东南卫视,https://live.v1.mk/api/ghyx.php?id=FuJianHD_6000
湖南卫视,https://live.v1.mk/api/ghyx.php?id=HuNanHD_6000
湖北卫视,https://live.v1.mk/api/ghyx.php?id=HuBeiHD_6000
广东卫视,https://live.v1.mk/api/ghyx.php?id=GuangDongHD_6000
广西卫视,https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
深圳卫视,https://live.v1.mk/api/ghyx.php?id=ShenZhenHD_6000
四川卫视,https://live.v1.mk/api/ghyx.php?id=SiChuanHD_6000
山东卫视,https://live.v1.mk/api/ghyx.php?id=ShanDongHD_6000
河南卫视,https://live.v1.mk/api/ghyx.php?id=HeNanHD_6000
河北卫视,https://live.v1.mk/api/ghyx.php?id=HeBeiHD_6000
江西卫视,https://live.v1.mk/api/ghyx.php?id=JiangXiHD_6000
天津卫视,https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
重庆卫视,https://live.v1.mk/api/ghyx.php?id=ChongQingHD_6000
黑龙江卫视,https://live.v1.mk/api/ghyx.php?id=HeiLongJiangHD_6000
吉林卫视,https://live.v1.mk/api/ghyx.php?id=JiLinWeiShiHD_6000
海南卫视,https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
内蒙古卫视 标清,https://live.v1.mk/api/ghyx.php?id=NeiMengGuHD_2000
山西卫视 标清,https://live.v1.mk/api/ghyx.php?id=ShanXiHD_2000
陕西卫视 标清,https://live.v1.mk/api/ghyx.php?id=ShannXiHD_2000
云南卫视 标清,https://live.v1.mk/api/ghyx.php?id=YunNanHD_2000
兵团卫视 标清,https://live.v1.mk/api/ghyx.php?id=BTTVHD_2000
贵州卫视 标清,https://live.v1.mk/api/ghyx.php?id=GuiZhouHD_2000
青海卫视 标清,https://live.v1.mk/api/ghyx.php?id=QingHaiHD_2000
西藏卫视 标清,https://live.v1.mk/api/ghyx.php?id=XiZangHD_2000
新疆卫视 标清,https://live.v1.mk/api/ghyx.php?id=XinJiangHD_2000
甘肃卫视 标清,https://live.v1.mk/api/ghyx.php?id=GanSuHD_2000
厦门卫视 标清,https://live.v1.mk/api/ghyx.php?id=XiaMenHD_2000
宁夏卫视 标清,https://live.v1.mk/api/ghyx.php?id=NingXiaHD_2000
北京卫视BTV-1,https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
北京文艺BTV-2,https://live.v1.mk/api/ghyx.php?id=BTVwenyiHD_6000
北京科教BTV-3,https://live.v1.mk/api/ghyx.php?id=BTVKeJiaoHD_6000
北京科教BTV-3 标清,https://live.v1.mk/api/ghyx.php?id=BTV3HD_2000
北京影视BTV-4,https://live.v1.mk/api/ghyx.php?id=BTV4HD_6000
北京财经BTV-5,https://live.v1.mk/api/ghyx.php?id=BTVCaiJingHD_6000
北京财经BTV-5 标清,https://live.v1.mk/api/ghyx.php?id=BTV5HD_2000
北京体育休闲BTV-6,https://live.v1.mk/api/ghyx.php?id=BTVjishiHD_6000
北京生活BTV-7,https://live.v1.mk/api/ghyx.php?id=BTVShengHuoHD_6000
北京生活BTV-7 标清,https://live.v1.mk/api/ghyx.php?id=BTV7HD_2000
北京青年BTV-8,https://live.v1.mk/api/ghyx.php?id=BTVQingNianHD_6000
北京青年BTV-8 标清,https://live.v1.mk/api/ghyx.php?id=BTV8HD_2000
北京新闻BTV-9,https://live.v1.mk/api/ghyx.php?id=BTV9HD_6000
北京卡酷BTV-10 标清,https://live.v1.mk/api/ghyx.php?id=BTV10HD_2000
乐游,https://live.v1.mk/api/ghyx.php?id=QuanJiShiHD_6000
中国教育1,https://live.v1.mk/api/ghyx.php?id=CETV1HD_6000
中国教育3,https://live.v1.mk/api/ghyx.php?id=CETV3HD_2000
中国教育4,https://live.v1.mk/api/ghyx.php?id=CETV4HD_2000
动漫秀场,https://live.v1.mk/api/ghyx.php?id=DongManXiuChangHD_6000
游戏风云,https://live.v1.mk/api/ghyx.php?id=YouXiFengYunHD_6000
东方财经,https://live.v1.mk/api/ghyx.php?id=DongFangCaiJingHD_6000
足球频道,https://live.v1.mk/api/ghyx.php?id=ZuQiuHD_6000

🇨🇳｜爱尚直播,#genre#
CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV2,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV3,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4K,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240505_1/playlist.m3u8?CONTENTID=00000110240505_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4欧洲,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240363_1/playlist.m3u8?CONTENTID=00000110240363_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV5,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240246_1/playlist.m3u8?CONTENTID=00000110240246_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
